Country,Power_Plant,Capacity_MW,Year_Commissioned,Operator,Type,Fuel,Location,Status,Construction_Start,Cost_Billion_USD,Safety_Rating
Nepal,Cummings LLC,316100,1980,Hale Group,Boiling Water Reactor,Mixed Oxide Fuel,"West Amberland, Nepal",Planned,2005,1.24,5
Austria,Hernandez-Cummings,124200,1982,"Wilson, French and Dixon",Boiling Water Reactor,Thorium,"New Ethanburgh, Austria",Operational,2017,2.33,3
Faroe Islands,Anderson-Baker,472400,1981,"Snyder, Snyder and Young",Fast Breeder Reactor,Uranium,"West Claudialand, Faroe Islands",Under Construction,1976,4.64,2
Swaziland,Crane-Jordan,334500,2011,Wells LLC,Pressurized Water Reactor,Thorium,"Martinezport, Swaziland",Planned,2006,9.82,4
Antigua and Barbuda,Frazier-Harris,220900,2019,"Jackson, Richmond and Blackburn",Boiling Water Reactor,Thorium,"Lake Elizabeth, Antigua and Barbuda",Under Construction,1987,1.25,4
Ecuador,Davis and Sons,215000,2006,"Howard, Powell and Graham",Pressurized Water Reactor,Mixed Oxide Fuel,"Hamiltonmouth, Ecuador",Operational,2008,7.12,1
Timor-Leste,"Day, Martin and Mosley",124500,1973,"Johnson, Hicks and Pugh",Fast Breeder Reactor,Thorium,"Melissaborough, Timor-Leste",Decommissioned,2020,4.5,4
Seychelles,"Nguyen, Oliver and Bates",490000,1994,Grimes-Anderson,Pressurized Water Reactor,Thorium,"Tuckermouth, Seychelles",Under Construction,2018,4.16,4
Slovenia,Cole and Sons,197100,1982,"Chapman, Schmidt and Williams",Pressurized Water Reactor,Mixed Oxide Fuel,"Dianastad, Slovenia",Planned,2021,3.63,2
Mauritania,Gardner-Calhoun,198700,1982,Bray-Skinner,Boiling Water Reactor,Uranium,"Lake Cheryl, Mauritania",Planned,1982,6.94,5
Poland,Burch LLC,269300,2012,Horn-Griffith,Pressurized Water Reactor,Uranium,"East Michael, Poland",Decommissioned,1993,9.19,1
Guernsey,Fields LLC,383400,1980,"Chase, Stephens and Martinez",Boiling Water Reactor,Mixed Oxide Fuel,"Robertbury, Guernsey",Operational,1970,9.96,2
Chad,Chen LLC,481200,1973,Lewis-Moran,Boiling Water Reactor,Mixed Oxide Fuel,"Markside, Chad",Under Construction,2011,9.92,1
China,Mitchell Ltd,119700,2016,"Burton, Marshall and Taylor",Boiling Water Reactor,Mixed Oxide Fuel,"Millschester, China",Under Construction,2000,6.85,5
San Marino,Gomez Group,166800,2014,"Reed, Burns and Rios",Pressurized Water Reactor,Thorium,"Lake Paulbury, San Marino",Planned,1991,1.72,1
Antarctica (the territory South of 60 deg S),Carter-Rodriguez,477400,2005,Flowers-Avila,Pressurized Water Reactor,Thorium,"East Ryanberg, Antarctica (the territory South of 60 deg S)",Decommissioned,2006,7.81,4
British Indian Ocean Territory (Chagos Archipelago),Orr-Rose,447200,2014,"Hughes, West and Jackson",Boiling Water Reactor,Mixed Oxide Fuel,"Hullburgh, British Indian Ocean Territory (Chagos Archipelago)",Operational,2011,9.19,4
United States Virgin Islands,Wilson-Martin,336600,1994,Salazar-Paul,Boiling Water Reactor,Uranium,"North Stephanieland, United States Virgin Islands",Decommissioned,1970,3.17,4
Equatorial Guinea,Arias LLC,354300,2015,Cline-Mejia,Fast Breeder Reactor,Uranium,"Meredithside, Equatorial Guinea",Operational,2022,7.63,4
Samoa,"Harmon, Jimenez and Ramirez",351500,1989,Hunt LLC,Fast Breeder Reactor,Mixed Oxide Fuel,"Juliefort, Samoa",Decommissioned,1997,8.31,2
Singapore,"Smith, Santana and Johnson",361100,2006,"Thompson, Shepard and Harris",Boiling Water Reactor,Thorium,"South William, Singapore",Operational,1988,3.37,2
Ireland,Hill-Barr,397500,2019,Johnson-Lopez,Pressurized Water Reactor,Uranium,"Cameronhaven, Ireland",Operational,1973,4.59,2
Comoros,"Coleman, Morris and Rogers",390700,2020,Sloan and Sons,Boiling Water Reactor,Mixed Oxide Fuel,"Sanchezfurt, Comoros",Under Construction,1970,3.26,2
Tanzania,Wilson LLC,169500,1972,Mosley and Sons,Boiling Water Reactor,Uranium,"Curtisfort, Tanzania",Operational,2016,9.93,2
Saint Kitts and Nevis,"Davis, Orozco and Ross",319600,1987,Stewart LLC,Boiling Water Reactor,Uranium,"South Hannah, Saint Kitts and Nevis",Decommissioned,1988,9.25,5
Antarctica (the territory South of 60 deg S),Mcdaniel and Sons,402100,2011,"Cruz, Warren and Ferguson",Fast Breeder Reactor,Uranium,"Lindseyborough, Antarctica (the territory South of 60 deg S)",Decommissioned,1990,8.63,5
Venezuela,"Simmons, Velazquez and Wolfe",493200,2003,"Jones, Weaver and Moore",Pressurized Water Reactor,Mixed Oxide Fuel,"Lake Ryanside, Venezuela",Decommissioned,2022,5.76,4
Gibraltar,"Lewis, Patel and Davis",235100,1981,Miller-Melendez,Pressurized Water Reactor,Mixed Oxide Fuel,"Ianmouth, Gibraltar",Planned,2023,7.53,4
Mauritania,Gonzalez-Rojas,116200,2003,Hudson Ltd,Boiling Water Reactor,Mixed Oxide Fuel,"Fosterburgh, Mauritania",Planned,2023,2.82,5
Uganda,Singleton-Mcmillan,496700,1995,Montgomery-Morris,Pressurized Water Reactor,Uranium,"Woodsmouth, Uganda",Decommissioned,1974,4.06,3
Guam,"Thompson, Hood and Gonzalez",195000,2004,"Rice, Murray and Reed",Fast Breeder Reactor,Thorium,"Lake Gregory, Guam",Decommissioned,2010,5.86,1
Guinea-Bissau,Harvey-Donaldson,325500,2005,Hale and Sons,Pressurized Water Reactor,Thorium,"Johnmouth, Guinea-Bissau",Under Construction,2021,3.23,3
Saint Helena,"Wilson, Khan and Braun",461700,1985,Cunningham-Wong,Fast Breeder Reactor,Mixed Oxide Fuel,"Kelseyport, Saint Helena",Operational,2010,3.88,5
Namibia,Johnson-Hall,159300,1985,"Patel, Huynh and Pena",Fast Breeder Reactor,Uranium,"Lake Eugenefort, Namibia",Operational,1973,4.73,2
Gambia,"Conner, Ortiz and Kaiser",54400,1986,Fisher PLC,Fast Breeder Reactor,Uranium,"Williamstown, Gambia",Under Construction,2003,4.4,4
Cambodia,Rivera and Sons,469200,1982,Morris PLC,Fast Breeder Reactor,Thorium,"East Maria, Cambodia",Under Construction,2011,3.41,5
Qatar,"Cohen, Johnson and Harris",192800,2003,Moore-Holt,Fast Breeder Reactor,Thorium,"North Jeffreyberg, Qatar",Under Construction,2013,8.7,2
Kazakhstan,"Estes, Tate and Aguirre",477800,1995,"Wallace, Moon and Fields",Boiling Water Reactor,Thorium,"Port Diane, Kazakhstan",Operational,2010,3.8,1
Sao Tome and Principe,Craig-Little,121800,2022,Thomas-Kennedy,Fast Breeder Reactor,Thorium,"Port Alexland, Sao Tome and Principe",Decommissioned,2015,4.74,3
Cocos (Keeling) Islands,"Carpenter, Bullock and Pace",120000,1997,Torres Ltd,Boiling Water Reactor,Uranium,"West Dawn, Cocos (Keeling) Islands",Operational,2021,1.92,1
Belgium,"Chambers, Baker and Mccoy",259900,2006,"Williams, Johnson and Chase",Boiling Water Reactor,Thorium,"North Loriport, Belgium",Under Construction,2020,9.18,5
Cocos (Keeling) Islands,Blankenship-Taylor,150600,2022,"Jennings, Barton and Davenport",Pressurized Water Reactor,Thorium,"Martinshire, Cocos (Keeling) Islands",Under Construction,1983,5.64,2
Macao,"Shaw, Erickson and Shepard",447100,1991,Hall and Sons,Fast Breeder Reactor,Thorium,"Joycestad, Macao",Under Construction,2017,1.13,2
Tokelau,Lawrence LLC,187700,1992,"Merritt, Myers and Hall",Boiling Water Reactor,Mixed Oxide Fuel,"Martinezmouth, Tokelau",Decommissioned,2000,3.94,5
Afghanistan,Mccoy Inc,431900,2019,Rodriguez-George,Fast Breeder Reactor,Mixed Oxide Fuel,"New Michelleshire, Afghanistan",Decommissioned,2005,9.18,5
Germany,"Harrington, Mcdaniel and Johnson",375900,1983,Molina-Cabrera,Fast Breeder Reactor,Uranium,"Sarahland, Germany",Planned,2019,7.7,5
Lithuania,"Malone, Schwartz and Schmidt",114700,2021,Weaver-Dickerson,Boiling Water Reactor,Uranium,"West Douglas, Lithuania",Planned,1993,7.14,5
Argentina,Peters LLC,346900,1993,Daniels and Sons,Fast Breeder Reactor,Mixed Oxide Fuel,"East Jasmine, Argentina",Under Construction,1978,6.05,2
Nigeria,Stewart-Benjamin,193600,1970,Fuentes LLC,Fast Breeder Reactor,Uranium,"West Jamesshire, Nigeria",Decommissioned,1984,5.87,5
Poland,Tran Group,177100,2009,Bishop-Young,Boiling Water Reactor,Uranium,"Oliviamouth, Poland",Planned,2013,6.47,4
Solomon Islands,Steele-Clark,108300,1981,"Huff, Jackson and Kennedy",Fast Breeder Reactor,Uranium,"Johnfort, Solomon Islands",Planned,1997,7.62,1
Azerbaijan,Campbell LLC,322500,2005,Turner-Cordova,Boiling Water Reactor,Uranium,"South Timothyburgh, Azerbaijan",Under Construction,1971,9.69,2
Western Sahara,"Taylor, Donovan and Flores",74000,1998,Frey PLC,Fast Breeder Reactor,Thorium,"West Alejandro, Western Sahara",Under Construction,1985,1.41,1
British Indian Ocean Territory (Chagos Archipelago),Mendoza-Sandoval,325700,2012,Smith-Harris,Pressurized Water Reactor,Mixed Oxide Fuel,"Deborahville, British Indian Ocean Territory (Chagos Archipelago)",Decommissioned,2008,8.09,4
Saint Lucia,Jackson-Marsh,468200,1984,Vazquez Inc,Fast Breeder Reactor,Thorium,"Lake Sarahport, Saint Lucia",Operational,1980,7.64,3
Georgia,"Cohen, Bonilla and Reed",124500,1980,"Scott, Lewis and Jackson",Boiling Water Reactor,Mixed Oxide Fuel,"South Ronaldbury, Georgia",Under Construction,2006,4.29,3
Lesotho,Rhodes and Sons,453900,1981,Fernandez-Carrillo,Fast Breeder Reactor,Uranium,"Longshire, Lesotho",Planned,1979,7.38,4
Guyana,"Frazier, Johnson and Le",236400,2000,Russell and Sons,Pressurized Water Reactor,Thorium,"Amandafurt, Guyana",Decommissioned,1985,1.57,5
Zimbabwe,Vazquez Group,381300,2018,Ramsey-Alexander,Boiling Water Reactor,Uranium,"Lake Stephanie, Zimbabwe",Operational,2002,7.15,2
Belgium,"Ryan, Johnson and Holmes",377200,1986,Fisher-Anderson,Boiling Water Reactor,Uranium,"South Brian, Belgium",Under Construction,1991,5.39,4
Lithuania,"Shaw, Herrera and Mitchell",321800,1975,Strong-Costa,Boiling Water Reactor,Thorium,"Port Nicholasview, Lithuania",Planned,1989,7.32,5
Cayman Islands,Brown-Pace,218400,2010,Delgado Group,Pressurized Water Reactor,Thorium,"Greenberg, Cayman Islands",Decommissioned,1970,4.78,2
Bangladesh,Spence-Stokes,368800,1995,Frazier PLC,Fast Breeder Reactor,Thorium,"Connieside, Bangladesh",Planned,2012,6.48,2
Ecuador,Perez-Camacho,245500,2006,Tapia and Sons,Pressurized Water Reactor,Mixed Oxide Fuel,"Howellborough, Ecuador",Planned,1982,8.78,5
British Indian Ocean Territory (Chagos Archipelago),"Garcia, Johnson and Davies",89600,1984,Curry-Cobb,Fast Breeder Reactor,Thorium,"West Jamesborough, British Indian Ocean Territory (Chagos Archipelago)",Under Construction,1995,8.96,4
Kenya,"Wilson, Wheeler and Johnson",427300,1976,"Perry, Fuentes and Baker",Boiling Water Reactor,Thorium,"New Joshuafort, Kenya",Operational,1984,4.06,4
Gibraltar,"Johnson, Mason and Barrera",206400,2008,Kelley-Rush,Pressurized Water Reactor,Uranium,"Sharonstad, Gibraltar",Operational,2023,2.56,5
Guinea-Bissau,"Baker, Baird and Ewing",259000,2003,"Mcgee, Dodson and Reed",Pressurized Water Reactor,Thorium,"Castillobury, Guinea-Bissau",Operational,2011,7.16,3
Croatia,Carrillo-Payne,257100,1987,Brown Inc,Fast Breeder Reactor,Uranium,"Juanfurt, Croatia",Operational,2008,9.41,2
Norfolk Island,Long-Miller,446000,2020,Burke-Smith,Fast Breeder Reactor,Mixed Oxide Fuel,"Curryfurt, Norfolk Island",Planned,2009,1.33,5
Venezuela,Rodriguez-Roberts,458300,1977,Brown-Davis,Boiling Water Reactor,Uranium,"Stacyview, Venezuela",Planned,1990,8.76,2
Sweden,"Casey, Warner and Cardenas",472800,1986,"Obrien, Juarez and Kennedy",Fast Breeder Reactor,Thorium,"Andersonville, Sweden",Decommissioned,1978,3.19,5
Syrian Arab Republic,"Beasley, Jones and Barnett",328500,2015,Herrera and Sons,Boiling Water Reactor,Thorium,"Josestad, Syrian Arab Republic",Under Construction,1976,1.81,5
Guernsey,Kane Inc,57800,2010,Potts Inc,Pressurized Water Reactor,Mixed Oxide Fuel,"East Matthew, Guernsey",Operational,2011,9.81,3
Guatemala,Lopez Group,161300,2007,Mendoza Ltd,Fast Breeder Reactor,Thorium,"South Melissaview, Guatemala",Planned,2017,2.91,1
Comoros,"Dudley, Adams and Carter",145300,1985,Hayes-Nichols,Pressurized Water Reactor,Thorium,"Larryburgh, Comoros",Operational,1997,1.9,1
Tanzania,"Kennedy, Garza and Bradley",93300,1983,"Dyer, Cortez and Wise",Fast Breeder Reactor,Uranium,"South John, Tanzania",Planned,2007,9.01,3
Mauritania,White-Clay,336200,1974,"Knapp, Palmer and Wright",Fast Breeder Reactor,Mixed Oxide Fuel,"Aaronstad, Mauritania",Under Construction,2010,7.59,5
Hong Kong,Hanson LLC,111400,1981,Fernandez Ltd,Pressurized Water Reactor,Uranium,"Lauratown, Hong Kong",Decommissioned,1996,6.66,5
Sri Lanka,Cunningham and Sons,478900,1982,James-Cook,Pressurized Water Reactor,Mixed Oxide Fuel,"Tyronehaven, Sri Lanka",Operational,1992,2.13,5
Falkland Islands (Malvinas),White-Long,319200,1979,"Chan, Carey and Nguyen",Boiling Water Reactor,Uranium,"Laurashire, Falkland Islands (Malvinas)",Operational,1988,9.83,5
Svalbard & Jan Mayen Islands,Martin Group,481500,1996,Mcdonald-Black,Pressurized Water Reactor,Thorium,"East Keith, Svalbard & Jan Mayen Islands",Under Construction,2010,6.81,5
Martinique,Clark-Mcclure,396700,2015,Mitchell-Moore,Pressurized Water Reactor,Thorium,"West Markville, Martinique",Under Construction,2004,1.59,1
Myanmar,Romero Group,99100,1976,"Smith, Santos and Mckee",Boiling Water Reactor,Mixed Oxide Fuel,"East Taylor, Myanmar",Decommissioned,2009,5.56,1
Guatemala,"Miller, Lynch and Manning",483600,1986,"Sanchez, Meyer and Fitzgerald",Fast Breeder Reactor,Thorium,"South Michelleshire, Guatemala",Under Construction,2013,9.96,3
Northern Mariana Islands,"Rogers, Santos and Mills",308100,2004,"Nicholson, Miller and Morris",Fast Breeder Reactor,Mixed Oxide Fuel,"South Walter, Northern Mariana Islands",Decommissioned,2022,5.84,3
Burundi,"Kelley, Hart and Washington",332500,2007,"Martinez, Bell and Conrad",Boiling Water Reactor,Uranium,"New Alexander, Burundi",Under Construction,1993,6.52,3
Seychelles,"Adams, Watson and Sanford",296500,1978,Cobb-Bell,Pressurized Water Reactor,Uranium,"North Colton, Seychelles",Planned,2007,1.32,2
Qatar,Smith-Anderson,319700,1971,"Howell, Walsh and Richards",Pressurized Water Reactor,Uranium,"Lake Rachel, Qatar",Decommissioned,2003,6.23,3
New Zealand,Martinez-Mckee,138200,2003,Carlson-Powell,Boiling Water Reactor,Uranium,"Annbury, New Zealand",Planned,2022,5.64,2
Mali,Scott Group,492000,1983,Diaz-Olson,Fast Breeder Reactor,Mixed Oxide Fuel,"Ericksonside, Mali",Decommissioned,1979,8.89,1
Montserrat,"May, Santos and Shaw",420000,1983,Perez Ltd,Pressurized Water Reactor,Thorium,"Shaunton, Montserrat",Under Construction,2015,4.48,5
Denmark,"Lowe, Mitchell and Brown",176700,2000,Evans-Carter,Fast Breeder Reactor,Mixed Oxide Fuel,"Khanshire, Denmark",Under Construction,1982,6.51,4
Equatorial Guinea,"Montoya, Simpson and Russo",179300,2017,"Wells, Shaw and Young",Fast Breeder Reactor,Thorium,"Thomasbury, Equatorial Guinea",Under Construction,1983,6.64,3
Panama,"Johnson, Williams and Johnson",238400,1974,Ellison Ltd,Pressurized Water Reactor,Mixed Oxide Fuel,"Port Sue, Panama",Decommissioned,2016,4.72,1
Estonia,Wilson and Sons,291100,1985,Avila-Ward,Boiling Water Reactor,Uranium,"Reynoldsport, Estonia",Decommissioned,2014,3.72,4
North Macedonia,"Cooke, Hopkins and Jackson",134500,1996,Ward and Sons,Boiling Water Reactor,Uranium,"Flemingview, North Macedonia",Under Construction,1988,2.22,1
Cook Islands,Davis Group,292900,2009,Conley Inc,Boiling Water Reactor,Mixed Oxide Fuel,"Jenniferbury, Cook Islands",Decommissioned,2000,8.9,5
Colombia,Flowers Ltd,360700,2017,Gamble LLC,Boiling Water Reactor,Uranium,"Jonathanport, Colombia",Operational,2021,1.05,1
Reunion,Smith PLC,384100,2014,Hughes-Huber,Fast Breeder Reactor,Uranium,"Michaelton, Reunion",Planned,2016,2.52,4
Georgia,Mahoney-Henry,395500,1990,"Fitzpatrick, Elliott and Brown",Fast Breeder Reactor,Thorium,"Lisatown, Georgia",Operational,2007,9.4,3
Grenada,Bonilla PLC,235300,2023,Pollard-Odom,Boiling Water Reactor,Uranium,"Aaronborough, Grenada",Operational,1975,7.43,5
New Zealand,Hughes and Sons,365800,2023,Hernandez-Ramirez,Boiling Water Reactor,Thorium,"Thomasburgh, New Zealand",Under Construction,1981,1.14,3
Greenland,Martinez Inc,321900,2001,"Newton, Hall and Rodriguez",Pressurized Water Reactor,Thorium,"Gonzalezhaven, Greenland",Decommissioned,1991,9.29,2
Nigeria,"Gross, Hunt and Hernandez",81800,2022,Turner-Graves,Pressurized Water Reactor,Mixed Oxide Fuel,"North Peterside, Nigeria",Decommissioned,2001,3.51,4
Gibraltar,Ortiz and Sons,431200,2012,Morris PLC,Pressurized Water Reactor,Uranium,"South Keithfort, Gibraltar",Decommissioned,2000,7.86,5
Wallis and Futuna,"Williams, Newman and Erickson",98300,1981,Diaz Inc,Fast Breeder Reactor,Thorium,"Williamsstad, Wallis and Futuna",Decommissioned,1980,9.37,4
Holy See (Vatican City State),"Miller, Richardson and Gibson",152200,2020,Simon-Torres,Boiling Water Reactor,Mixed Oxide Fuel,"North Derekshire, Holy See (Vatican City State)",Decommissioned,1980,8.17,2
Jordan,Rodriguez Group,127800,2001,"Fernandez, Clayton and Pratt",Pressurized Water Reactor,Uranium,"Saraton, Jordan",Under Construction,1993,7.55,2
Lao People's Democratic Republic,"Gomez, Anderson and Kim",176900,2017,"Carlson, Cook and Douglas",Boiling Water Reactor,Uranium,"North Tim, Lao People's Democratic Republic",Planned,1992,4.02,3
Georgia,"Hartman, Wright and Johnson",458200,2023,"West, Matthews and Hines",Pressurized Water Reactor,Mixed Oxide Fuel,"Yangside, Georgia",Operational,1985,7.59,4
Zimbabwe,Jones LLC,298600,2007,Robertson Group,Fast Breeder Reactor,Thorium,"West Ashleybury, Zimbabwe",Operational,1993,4.97,1
Niger,"Stewart, Sharp and Vaughn",103400,1970,Castro-Johnson,Pressurized Water Reactor,Thorium,"Lake Daniellemouth, Niger",Planned,1990,7.92,4
Monaco,"Carter, Fox and Lambert",449100,1987,Miller Group,Fast Breeder Reactor,Thorium,"New Allisonside, Monaco",Decommissioned,1995,8.29,4
Bhutan,Miller Inc,71500,1982,"Krause, Murphy and Hamilton",Pressurized Water Reactor,Thorium,"Bradyton, Bhutan",Planned,2019,6.76,4
Germany,"King, Garrett and Morales",245000,1974,Owens PLC,Boiling Water Reactor,Uranium,"North Angela, Germany",Operational,1982,6.36,2
Russian Federation,Davis-Hernandez,52600,2008,Garner and Sons,Fast Breeder Reactor,Thorium,"Franklinshire, Russian Federation",Under Construction,1976,9.52,4
Syrian Arab Republic,"Miller, Haas and Webster",210300,1999,"Woods, Boyd and Murphy",Fast Breeder Reactor,Uranium,"East Rebecca, Syrian Arab Republic",Decommissioned,1990,3.93,4
Saint Helena,Campbell Group,379900,1980,Scott-Miller,Boiling Water Reactor,Mixed Oxide Fuel,"Henryside, Saint Helena",Planned,1992,2.2,5
Guinea-Bissau,"Bennett, Fuller and Johnson",296000,1986,Wright and Sons,Pressurized Water Reactor,Thorium,"Sallyborough, Guinea-Bissau",Under Construction,1993,4.14,5
Slovakia (Slovak Republic),Carlson Ltd,304500,2012,Mckee-Lindsey,Pressurized Water Reactor,Thorium,"Gutierrezport, Slovakia (Slovak Republic)",Operational,2008,1.98,5
Jersey,Berry-Dean,226100,1992,Gonzales-Pittman,Fast Breeder Reactor,Uranium,"Ortizville, Jersey",Planned,1975,9.83,4
Martinique,"Miles, Perry and Campos",93900,2000,Hoffman-Cook,Boiling Water Reactor,Uranium,"Fosterchester, Martinique",Planned,2002,9.18,2
Sierra Leone,Young-Murray,405500,1972,King-Alexander,Boiling Water Reactor,Thorium,"Stephensmouth, Sierra Leone",Operational,2009,5.57,1
Cocos (Keeling) Islands,"Carter, Hinton and Rogers",209700,2002,Gallagher-Foster,Pressurized Water Reactor,Uranium,"Milesshire, Cocos (Keeling) Islands",Under Construction,2016,9.21,2
Guatemala,"Smith, Zhang and Morales",427600,2006,"Taylor, Morgan and Cook",Fast Breeder Reactor,Uranium,"Lake Ritafurt, Guatemala",Operational,2004,1.09,4
Isle of Man,Horton LLC,186900,1980,Morrison Inc,Pressurized Water Reactor,Thorium,"New Rachelberg, Isle of Man",Under Construction,2006,4.73,3
